season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
7,Play in,Soraka,1,2.6,,1,1.0,0,1,0.0,0.0,3.0,1.0,0.33,8.0,0.31,6.6,258.0,0.0,,100.0,0.0,17.7
7,Play in,Yasuo,1,2.6,,1,1.0,0,1,0.0,0.0,8.0,2.0,0.25,125.0,5.33,6.5,277.0,0.0,,22.2,0.0,17.9
7,Main,Lucian,17,21.3,12.0,5,3.0,1,4,20.0,2.8,3.6,5.2,2.22,361.0,8.81,16.4,399.0,0.0,,80.0,28.0,22.4
7,Main,Renekton,9,11.3,6.0,3,3.0,1,2,33.3,3.67,2.33,2.33,2.57,287.33,8.48,13.8,406.0,0.0,,56.3,34.4,22.7
7,Main,Thresh,7,8.8,4.0,3,2.0,1,2,33.3,1.0,1.67,7.0,4.8,35.0,0.85,10.9,267.0,0.0,,77.4,9.7,15.4
7,Main,Blitzcrank,6,7.5,3.0,3,2.0,1,2,33.3,0.67,3.0,5.67,2.11,35.0,1.0,9.0,258.0,0.0,,73.1,7.7,14.7
7,Main,Zac,5,6.3,1.0,4,3.0,1,3,25.0,0.75,2.75,3.75,1.64,138.5,3.85,10.6,295.0,0.0,,85.7,14.3,16.9
7,Main,Ivern,5,6.3,3.0,2,2.0,1,1,50.0,0.5,2.5,7.5,3.2,90.5,2.65,10.9,319.0,0.0,,61.5,3.8,17.2
7,Main,Kayn,4,5.0,1.0,3,1.0,1,2,33.3,2.33,2.33,2.67,2.14,211.0,6.19,11.6,341.0,0.0,,62.5,29.2,19.2
7,Main,Sivir,4,5.0,1.0,3,2.0,1,2,33.3,2.67,2.67,3.0,2.13,478.0,11.58,18.9,458.0,0.0,,53.1,25.0,25.2
7,Main,Elise,4,5.0,2.0,2,1.0,1,1,50.0,1.5,1.5,5.0,4.33,153.5,4.56,11.3,336.0,0.0,,41.9,9.7,17.3
7,Main,Nocturne,4,5.0,2.0,2,2.0,1,1,50.0,3.0,4.0,4.0,1.75,166.5,6.06,9.9,362.0,0.0,,50.0,21.4,20.4
7,Main,Alistar,4,5.0,2.0,2,2.0,0,2,0.0,0.0,2.5,3.0,1.2,28.5,0.88,7.8,238.0,0.0,,54.5,0.0,14.5
7,Main,Nidalee,4,5.0,3.0,1,1.0,0,1,0.0,2.0,3.0,1.0,1.0,219.0,5.65,12.5,323.0,0.0,,100.0,66.7,19.0
7,Main,Camille,3,3.8,,3,2.0,1,2,33.3,2.33,1.67,1.0,2.0,259.0,8.95,11.7,404.0,0.0,,40.0,28.0,22.6
7,Main,Yasuo,3,3.8,,3,3.0,1,2,33.3,2.67,3.0,4.67,2.44,403.67,9.54,16.7,394.0,0.0,,66.7,24.2,21.9
7,Main,Graves,3,3.8,1.0,2,1.0,1,1,50.0,1.5,3.0,4.5,2.0,206.0,5.6,13.1,355.0,0.0,,66.7,16.7,19.0
