season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share,kda_enhanced,efficiency_score,role,popularity_tier,impact_score
5,Main,Vladimir,1,1.4,,1,1.0,1,0,100.0,0.0,3.0,8.0,2.67,318.0,7.31,14.9,343.0,0.0,,50.0,0.0,19.9,2.6666666666666665,102.66666666666667,other,Bajo,1.4373333333333331
5,Main,Blitzcrank,1,1.4,,1,1.0,0,1,0.0,1.0,5.0,2.0,0.6,16.0,0.55,5.8,198.0,0.0,,75.0,25.0,14.5,0.6,0.6,other,Bajo,0.0084
5,Main,Brand,1,1.4,,1,1.0,0,1,0.0,1.0,6.0,10.0,1.83,29.0,0.83,8.6,246.0,0.0,,78.6,7.1,15.2,1.8333333333333333,1.8333333333333333,other,Bajo,0.025666666666666664
5,Main,Cassiopeia,1,1.4,,1,1.0,0,1,0.0,1.0,1.0,4.0,5.0,341.0,8.61,13.2,333.0,0.0,,50.0,10.0,21.9,5.0,5.0,other,Bajo,0.07
5,Main,Jayce,1,1.4,,1,1.0,0,1,0.0,1.0,2.0,7.0,4.0,359.0,9.33,14.7,382.0,0.0,,50.0,6.3,22.4,4.0,4.0,other,Bajo,0.055999999999999994
5,Main,Nautilus,1,1.4,,1,1.0,0,1,0.0,0.0,6.0,9.0,1.5,72.0,1.66,9.4,217.0,0.0,,50.0,0.0,12.7,1.5,1.5,other,Bajo,0.020999999999999998
5,Main,Nunu,1,1.4,,1,1.0,0,1,0.0,1.0,5.0,11.0,2.4,92.0,2.63,10.0,286.0,0.0,,85.7,7.1,17.7,2.4,2.4,other,Bajo,0.0336
5,Main,Syndra,1,1.4,,1,1.0,0,1,0.0,2.0,1.0,3.0,5.0,510.0,9.2,19.8,357.0,0.0,,83.3,33.3,25.1,5.0,5.0,other,Bajo,0.07
5,Main,Twitch,1,1.4,,1,1.0,0,1,0.0,4.0,4.0,2.0,1.5,213.0,6.43,10.4,314.0,0.0,,50.0,33.3,20.8,1.5,1.5,other,Bajo,0.020999999999999998
5,Main,Vi,1,1.4,,1,1.0,0,1,0.0,0.0,6.0,1.0,0.17,128.0,2.94,10.6,244.0,0.0,,10.0,0.0,16.0,0.16666666666666666,0.16666666666666666,other,Bajo,0.002333333333333333
6,Main,Brand,9,11.7,8.0,1,1.0,1,0,100.0,3.0,1.0,4.0,7.0,32.0,0.79,12.7,314.0,0.0,,70.0,30.0,16.8,7.0,107.0,other,Bajo,12.518999999999998
6,Main,Twisted Fate,6,7.8,5.0,1,1.0,0,1,0.0,0.0,6.0,5.0,0.83,374.0,7.97,17.9,382.0,0.0,,71.4,0.0,21.7,0.8333333333333334,0.8333333333333334,other,Bajo,0.065
6,Main,Zilean,4,5.2,,4,4.0,1,3,25.0,2.75,3.75,4.75,2.0,356.0,8.68,15.5,377.0,0.0,,57.7,21.2,22.1,2.0,27.0,other,Bajo,1.4040000000000001
6,Main,Soraka,3,3.9,1.0,2,2.0,1,1,50.0,0.5,3.0,10.5,3.67,23.0,0.54,10.9,257.0,0.0,,88.0,4.0,14.6,3.6666666666666665,53.666666666666664,other,Bajo,2.093
6,Main,Maokai,2,2.6,,2,2.0,1,1,50.0,2.5,2.5,11.5,5.6,281.0,7.28,13.7,353.0,0.0,,77.8,13.9,19.3,5.6,55.6,other,Bajo,1.4456
6,Main,Anivia,2,2.6,1.0,1,1.0,1,0,100.0,2.0,2.0,5.0,3.5,302.0,7.48,15.6,386.0,0.0,,70.0,20.0,20.6,3.5,103.5,other,Bajo,2.6910000000000003
6,Main,Shen,2,2.6,1.0,1,1.0,0,1,0.0,3.0,4.0,6.0,2.25,174.0,6.3,8.9,322.0,0.0,,75.0,25.0,22.0,2.25,2.25,other,Bajo,0.0585
6,Main,Nocturne,1,1.3,,1,1.0,1,0,100.0,3.0,2.0,11.0,7.0,166.0,3.8,16.4,376.0,0.0,,73.7,15.8,19.4,7.0,107.0,other,Bajo,1.391
6,Main,Taric,1,1.3,,1,1.0,1,0,100.0,0.0,7.0,9.0,1.29,134.0,2.02,19.5,294.0,0.0,,56.3,0.0,16.3,1.2857142857142858,101.28571428571429,other,Bajo,1.3167142857142857
6,Main,Fiora,1,1.3,,1,1.0,0,1,0.0,5.0,7.0,5.0,1.43,263.0,7.56,13.4,385.0,0.0,,66.7,33.3,22.7,1.4285714285714286,1.4285714285714286,other,Bajo,0.018571428571428572
6,Main,Kha'Zix,1,1.3,,1,1.0,0,1,0.0,4.0,4.0,3.0,1.75,164.0,3.61,14.5,319.0,0.0,,70.0,40.0,20.1,1.75,1.75,other,Bajo,0.02275
6,Main,Kindred,1,1.3,,1,1.0,0,1,0.0,2.0,5.0,0.0,0.4,123.0,3.91,9.6,305.0,0.0,,66.7,66.7,20.3,0.4,0.4,other,Bajo,0.0052
