season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share,kda,player_efficiency,economic_impact,performance_tier
2,Main,SK_Gaming,ocelote,3,0,3,0.0,0.67,2.33,1.67,1.0,233.33,7.34,9.2,290,0.0,,0.5010706638115632,,,1.004291845493562,0.0,9.2,
2,Main,SK_Gaming,YellOwStaR,3,0,3,0.0,2.67,2.33,1.33,1.71,246.0,7.74,9.9,312,0.0,,0.631911532385466,,,1.7167381974248928,0.0,9.9,
2,Main,Taipei_Assassins,bebe,9,7,2,77.8,5.56,2.11,6.33,5.63,277.44,8.14,12.9,378,0.0,,0.8492857142857143,,,5.635071090047394,39.44549763033176,12.9,Élite
2,Main,Taipei_Assassins,Lilballz,9,7,2,77.8,1.22,2.11,8.33,4.53,115.67,3.39,9.0,263,0.0,,0.8190394511149228,,,4.526066350710901,31.68246445497631,9.0,Élite
2,Main,Taipei_Assassins,MiSTakE,9,7,2,77.8,0.78,3.11,9.0,3.14,23.89,0.7,7.7,225,0.0,,0.7587276958882854,,,3.144694533762058,22.012861736334408,7.7,Élite
2,Main,Taipei_Assassins,Stanley,9,7,2,77.8,3.11,1.67,6.89,6.0,225.89,6.63,11.9,349,0.0,,0.8568980291345332,,,5.9880239520958085,41.91616766467066,11.9,Élite
2,Main,Taipei_Assassins,Toyz,9,7,2,77.8,4.11,1.22,6.67,8.82,312.78,9.18,13.0,380,0.0,,0.8983333333333334,,,8.836065573770492,61.852459016393446,13.0,Élite
2,Main,Team_WE,Caomei,3,1,2,33.3,2.33,2.33,8.0,4.43,245.67,5.25,13.8,296,0.0,,0.815955766192733,,,4.4334763948497855,4.4334763948497855,13.8,Élite
2,Main,Team_WE,ClearLove,3,1,2,33.3,3.0,4.0,10.0,3.25,158.67,3.39,12.0,257,0.0,,0.7647058823529411,,,3.25,3.25,12.0,Élite
2,Main,Team_WE,Fzzf,3,1,2,33.3,1.67,3.67,9.0,2.91,16.33,0.35,10.4,222,0.0,,0.7440725244072525,,,2.907356948228883,2.907356948228883,10.4,Alto
2,Main,Team_WE,Misaya,3,1,2,33.3,5.0,3.0,6.67,3.89,367.0,7.85,15.9,340,0.0,,0.7955010224948875,,,3.89,3.89,15.9,Élite
2,Main,Team_WE,Weixiao,3,1,2,33.3,4.67,1.67,7.67,7.4,405.67,8.68,17.2,368,0.0,,0.8807994289793005,,,7.389221556886228,7.389221556886228,17.2,Élite
2,Main,TSM,Chaox,2,0,2,0.0,2.5,4.0,6.5,2.25,255.0,7.07,10.7,295,0.0,,0.6923076923076923,,,2.25,0.0,10.7,
2,Main,TSM,Dyrus,2,0,2,0.0,3.0,4.0,5.0,2.0,206.5,5.72,9.6,265,0.0,,0.6666666666666666,,,2.0,0.0,9.6,
2,Main,TSM,Reginald,2,0,2,0.0,4.5,3.5,6.5,3.14,282.0,7.81,11.7,324,0.0,,0.7586206896551724,,,3.142857142857143,0.0,11.7,
2,Main,TSM,TheOddOne,2,0,2,0.0,3.0,2.5,5.0,3.2,111.5,3.09,8.2,227,0.0,,0.7619047619047619,,,3.2,0.0,8.2,
2,Main,TSM,Xpecial,2,0,2,0.0,0.0,3.5,9.5,2.71,11.5,0.32,6.3,173,0.0,,0.7307692307692307,,,2.7142857142857144,0.0,6.3,
3,Main,Cloud9,Balls,3,1,2,33.3,3.67,3.0,5.33,3.0,212.0,6.35,10.9,326,0.0,,0.75,,,3.0,3.0,10.9,Alto
3,Main,Cloud9,Hai,3,1,2,33.3,1.67,5.67,5.33,1.24,215.33,6.45,10.4,311,0.0,,0.5524861878453039,,,1.2345679012345678,1.2345679012345678,10.4,Promedio
3,Main,Cloud9,LemonNation,3,1,2,33.3,0.67,5.33,8.33,1.69,25.67,0.77,6.9,206,0.0,,0.628053035589672,,,1.6885553470919323,1.6885553470919323,6.9,Promedio
